,x,y,angle,ID,dt,T,obj0,rssi0,obj1,rssi1,obj2,rssi2,obj3,rssi3,obj4,rssi4
0,-152.1,121.9,-167.47,1,0.128,3.102,0,80,3,70,4,77,1,69,2,79
1,-152.1,121.91,-167.47,1,0.971,4.073,0,80,3,70,4,76,1,69,2,78
2,-152.07,121.89,-167.47,1,1.067,5.14,0,80,3,70,4,76,1,69,2,78
3,-152.1,121.9,-167.47,1,1.046,6.186,0,81,3,70,4,76,1,69,2,79
4,-152.05,121.88,-167.47,1,1.034,7.22,0,81,3,70,4,76,1,69,2,77
5,-152.1,121.88,-167.47,1,1.064,8.284,0,82,3,70,4,76,1,69,2,74
6,-152.07,121.91,-167.47,1,1.035,9.319,0,82,3,70,4,76,1,69,2,74
7,-152.05,121.91,-159.44,1,1.081,10.4,0,82,3,70,4,76,1,69,2,73
8,-152.01,121.88,-167.47,1,1.032,11.432,0,83,3,70,4,76,1,69,2,72
9,-152.1,121.87,-159.44,1,1.054,12.486,0,84,3,70,4,76,1,70,2,79
10,-152.11,121.86,-167.47,1,1.034,13.52,0,84,3,70,4,76,1,70,2,78
11,-152.04,121.89,-159.44,1,1.081,14.601,0,79,3,70,4,76,1,70,2,79
12,-147.12,121.51,-161.57,1,1.043,15.644,0,71,3,70,4,76,1,70,2,79
13,-146.86,121.38,-165.96,1,1.054,16.698,0,71,3,70,4,76,1,70,2,79
14,-144.97,121.24,-161.57,1,1.034,17.732,0,70,3,70,4,76,1,70,2,79
15,-144.27,121.14,-161.57,1,1.055,18.787,0,72,3,70,4,76,1,70,2,79
16,-142.23,121.02,-161.57,1,1.035,19.822,0,78,3,70,4,76,1,70,2,78
17,-141.03,120.8,-167.47,1,1.075,20.897,0,82,3,70,4,76,1,70,2,76
18,-141.04,120.81,-161.57,1,1.052,21.949,0,85,3,70,4,76,1,70,2,75
19,-141.03,120.79,-167.47,1,1.041,22.99,0,84,3,70,4,76,1,70,2,73
20,-139.97,120.71,-165.96,1,1.036,24.026,0,81,3,70,4,76,1,70,2,73
21,-137.89,120.59,-161.57,1,1.072,25.098,0,76,3,70,4,76,1,70,2,73
22,-138.1,120.69,-161.57,1,1.047,26.145,0,76,3,70,4,76,1,70,2,72
23,-138.11,120.69,-161.57,1,1.052,27.197,0,76,3,70,4,76,1,70,2,72
24,-136.82,120.62,-161.57,1,1.054,28.251,0,76,3,70,4,76,1,70,2,72
25,-136.64,120.5,-161.57,1,1.047,29.298,0,76,3,70,4,76,1,70,2,72
26,-136.62,120.48,-161.57,1,1.043,30.341,0,77,3,70,4,76,1,70,2,73
27,-135.7,120.43,-161.57,1,1.06,31.401,0,78,3,70,4,76,1,70,2,72
28,-135.66,120.39,-161.57,1,1.027,32.428,0,79,3,71,4,76,1,70,2,72
29,-135.66,120.41,-161.57,1,1.053,33.481,0,81,3,70,4,76,1,70,2,72
30,-134.96,120.44,-161.57,1,1.063,34.544,0,85,3,70,4,76,1,70,2,73
31,-134.74,120.29,-161.57,1,1.036,35.58,0,85,3,70,4,76,1,70,2,73
32,-134.95,120.44,-161.57,1,1.08,36.66,0,86,3,70,4,76,1,70,2,73
33,-134.75,120.28,-161.57,1,1.036,37.696,0,86,3,70,4,76,1,70,2,73
34,-134.03,120.37,-167.47,1,1.063,38.759,0,85,3,70,4,76,1,70,2,72
35,-133.85,120.36,-165.96,1,1.042,39.801,0,85,3,70,4,76,1,70,2,72
36,-133.08,120.3,-167.47,1,1.055,40.856,0,80,3,69,4,76,1,69,2,73
37,-133.1,120.27,-161.57,1,1.027,41.883,0,80,3,69,4,76,1,69,2,73
38,-133.07,120.28,-167.47,1,1.073,42.956,0,80,3,70,4,76,1,71,2,73
39,-132.86,120.15,-167.47,1,1.029,43.985,0,80,3,70,4,76,1,71,2,72
40,-132.21,120.1,-161.57,1,1.062,45.047,0,77,3,70,4,76,1,71,2,72
41,-132.14,120.16,-167.47,1,1.053,46.1,0,77,3,70,4,76,1,71,2,72
42,-132.1,120.16,-167.47,1,1.056,47.156,0,76,3,70,4,76,1,71,2,72
43,-130.99,119.98,-161.57,1,1.052,48.208,0,75,3,70,4,76,1,70,2,72
44,-131.19,120.08,-161.57,1,1.054,49.262,0,75,3,69,4,76,1,70,2,72
45,-131.23,120.09,-161.57,1,1.045,50.307,0,75,3,69,4,76,1,70,2,72
46,-130.98,119.98,-161.57,1,1.048,51.355,0,75,3,69,4,76,1,70,2,72
47,-131.0,119.95,-161.57,1,1.04,52.395,0,75,3,69,4,76,1,70,2,72
48,-131.18,120.13,-161.57,1,1.055,53.45,0,74,3,71,4,76,1,70,2,72
49,-131.16,120.08,-161.57,1,1.041,54.491,0,74,3,70,4,76,1,70,2,72
