x,y,angle,ID,dt,T,obj0,rssi0,obj1,rssi1,obj2,rssi2,obj3,rssi3,obj4,rssi4
-161.53,-102.09,169.7,1,0.109,21.275,1,67,3,72,0,65,2,81,4,64
-161.43,-101.3,163.3,1,0.76,22.035,1,68,3,72,0,68,2,81,4,64
-159.9,-101.48,168.69,1,1.058,23.093,1,68,3,72,0,70,2,81,4,64
-159.88,-101.48,168.69,1,1.048,24.141,1,68,3,70,0,71,2,81,4,64
-159.41,-101.58,168.69,1,1.063,25.204,1,68,3,71,0,74,2,81,4,64
-156.45,-101.71,174.81,1,1.038,26.242,1,68,3,72,0,77,2,81,4,65
-149.46,-101.64,169.7,1,0.047,27.338,1,68,3,72,0,72,2,81,4,65
-149.03,-101.66,169.7,1,1.002,28.34,1,68,3,71,0,68,2,81,4,65
-145.21,-101.85,174.29,1,1.065,29.405,1,68,3,71,0,69,2,81,4,65
-136.52,-102.4,174.29,2,0.067,30.51,1,68,3,71,0,73,2,81,4,65
-135.94,-102.36,174.29,3,1.003,31.513,1,68,3,71,0,71,2,81,4,65
-130.92,-102.59,174.29,2,1.031,32.544,1,68,3,71,0,74,2,81,4,65
-126.87,-102.79,174.29,1,1.058,33.602,1,68,3,71,0,75,2,81,4,65
-121.76,-103.1,174.29,1,1.039,34.641,1,67,3,71,0,72,2,81,4,65
-119.19,-103.39,180,1,1.064,35.705,1,67,3,71,0,72,2,81,4,64
-115.82,-103.57,180,1,1.05,36.755,1,67,3,72,0,72,2,81,4,64
-111.96,-103.44,180,2,1.039,37.794,1,67,3,72,0,70,2,81,4,64
-108.44,-103.35,180,2,1.063,38.857,1,67,3,72,0,72,2,81,4,65
-105.06,-103.52,174.29,2,1.038,39.895,1,67,3,72,0,75,2,81,4,65
-103.98,-103.51,180,1,1.059,40.954,1,67,3,72,0,75,2,81,4,65
-104.55,-103.68,180,1,1.05,42.004,1,67,3,72,0,74,2,81,4,65
-101.82,-103.74,180,1,1.042,43.046,1,65,3,72,0,70,2,82,4,65
-97.088,-103.67,174.29,1,1.059,44.105,1,65,3,72,0,67,2,82,4,64
-92.662,-103.82,174.29,1,1.058,45.163,1,65,3,72,0,69,2,82,4,64
-88.388,-103.93,174.29,1,1.04,46.203,1,66,3,72,0,72,2,82,4,66
-85.858,-104.02,168.69,1,1.058,47.261,1,67,3,73,0,71,2,82,4,65
-83.347,-104.11,168.69,1,1.04,48.301,1,67,3,73,0,70,2,82,4,65
-81.987,-104.14,168.69,1,1.059,49.36,1,67,3,73,0,70,2,82,4,65
-81.53,-104.22,168.69,1,1.046,50.406,1,67,3,71,0,71,2,82,4,65
-79.659,-104.32,168.69,1,1.044,51.45,1,68,3,71,0,71,2,81,4,65
-76.92,-104.3,168.69,2,1.057,52.507,1,68,3,71,0,71,2,81,4,65
-75.447,-104.42,174.29,1,1.059,53.566,1,68,3,71,0,71,2,81,4,65
-72.832,-104.46,174.29,2,1.051,54.617,1,68,3,71,0,74,2,81,4,65
-70.474,-104.59,167.47,1,1.038,55.655,1,68,3,71,0,71,2,81,4,65
-66.399,-104.62,168.69,1,1.046,56.701,1,68,3,71,0,72,2,81,4,65
-64.492,-104.79,168.69,2,1.061,57.762,1,68,3,72,0,73,2,82,4,65
-63.928,-104.83,168.69,2,1.039,58.801,1,67,3,72,0,73,2,82,4,65
-63.939,-104.83,168.69,2,1.052,59.853,1,67,3,72,0,73,2,82,4,65
-63.926,-104.81,168.69,2,1.058,60.911,1,67,3,72,0,74,2,82,4,65
-60.559,-104.87,167.47,2,1.045,61.956,1,67,3,72,0,73,2,82,4,65
-58.286,-104.99,174.29,2,1.061,63.017,1,68,3,72,0,69,2,82,4,65
-55.391,-104.99,174.29,1,1.038,64.055,1,68,3,72,0,69,2,82,4,65
-54.694,-105.23,174.29,1,1.059,65.114,1,68,3,72,0,69,2,82,4,65
-52.65,-105.24,174.29,1,1.042,66.156,1,68,3,72,0,69,2,82,4,65
-52.637,-105.27,174.29,1,1.06,67.216,1,68,3,72,0,70,2,82,4,65
-52.586,-105.28,174.29,1,1.05,68.266,1,68,3,72,0,70,2,82,4,65
-48.521,-105.17,168.69,1,1.046,69.312,1,68,3,72,0,71,2,82,4,65
-46.347,-105.08,163.3,1,1.044,70.356,1,68,3,72,0,72,2,82,4,64
-42.502,-105.29,168.69,1,1.06,71.416,1,68,3,72,0,73,2,82,4,65
-41.494,-105.29,167.47,1,1.041,72.457,1,68,3,72,0,73,2,82,4,65
-38.971,-105.47,167.47,2,1.065,73.522,1,69,3,72,0,73,2,82,4,65
-38.93,-105.45,167.47,1,1.044,74.566,1,69,3,72,0,73,2,82,4,65
-38.935,-105.44,167.47,1,1.04,75.606,1,69,3,72,0,73,2,82,4,64
-39.781,-105.44,167.47,1,1.059,76.665,1,69,3,72,0,73,2,82,4,64
-39.776,-105.45,167.47,1,1.059,77.724,1,69,3,72,0,74,2,82,4,65
-37.77,-105.52,168.69,1,1.04,78.764,1,69,3,72,0,73,2,82,4,65
-38.626,-105.54,168.69,2,1.059,79.823,1,69,3,72,0,73,2,82,4,65
-37.718,-105.54,167.47,1,1.038,80.861,1,68,3,72,0,73,2,82,4,65
-36.643,-105.63,161.57,1,1.058,81.919,1,68,3,72,0,73,2,82,4,65
-35.401,-105.73,167.47,2,1.043,82.962,1,68,3,72,0,72,2,82,4,65
-34.87,-105.7,167.47,2,1.058,84.02,1,69,3,72,0,71,2,82,4,65
-34.532,-105.69,161.57,1,1.046,85.066,1,69,3,72,0,71,2,82,4,65
-32.514,-105.76,167.47,1,1.058,86.124,1,69,3,71,0,70,2,82,4,65
-32.111,-105.91,167.47,1,1.039,87.163,1,69,3,72,0,70,2,82,4,65
-32.144,-105.93,167.47,1,1.065,88.228,1,68,3,73,0,69,2,82,4,65
-30.888,-106.05,167.47,1,1.039,89.267,1,68,3,73,0,68,2,82,4,65
-30.274,-106.06,167.47,1,1.066,90.333,1,68,3,73,0,68,2,82,4,65
-28.864,-106.07,168.69,1,1.028,91.361,1,68,3,73,0,68,2,82,4,65
-29.119,-106.12,168.69,1,1.067,92.428,1,68,3,73,0,68,2,82,4,65
-29.065,-106.1,167.47,1,1.038,93.466,1,68,3,73,0,68,2,82,4,65
-27.387,-106.14,167.47,2,1.067,94.533,1,69,3,73,0,68,2,82,4,65
-27.357,-106.14,167.47,1,1.039,95.572,1,69,3,73,0,68,2,82,4,65
-27.31,-106.23,168.69,2,1.055,96.627,1,69,3,72,0,68,2,82,4,65
-25.236,-106.18,168.69,1,1.041,97.668,1,69,3,72,0,68,2,82,4,65
-23.828,-106.24,167.47,1,1.048,98.716,1,68,3,73,0,68,2,82,4,66
-22.53,-106.34,167.47,1,1.065,99.781,1,68,3,73,0,68,2,82,4,65
-22.529,-106.36,167.47,1,1.04,100.82,1,68,3,73,0,68,2,82,4,65
-21.316,-106.48,168.69,1,1.061,101.88,1,67,3,72,0,68,2,82,4,65
-20.169,-106.45,168.69,1,1.051,102.93,1,67,3,72,0,68,2,82,4,65
-19.1,-106.54,167.47,1,1.039,103.97,1,67,3,72,0,68,2,82,4,65
-18.217,-106.56,168.69,1,1.064,105.04,1,68,3,72,0,68,2,82,4,65
-19.136,-106.57,168.69,1,1.051,106.09,1,68,3,72,0,68,2,82,4,65
-17.247,-106.57,167.47,1,1.038,107.12,1,68,3,72,0,68,2,81,4,65
-17.298,-106.58,167.47,1,1.058,108.18,1,68,3,72,0,68,2,81,4,67
-15.758,-106.71,168.69,1,1.041,109.22,1,68,3,72,0,68,2,81,4,65
-14.555,-106.74,168.69,2,1.061,110.28,1,68,3,72,0,68,2,81,4,65
-15.183,-106.79,173.66,1,1.037,111.32,1,68,3,72,0,68,2,81,4,65
-13.549,-106.79,167.47,1,1.058,112.38,1,68,3,72,0,68,2,81,4,65
-12.476,-106.91,174.29,1,1.058,113.44,1,68,3,72,0,68,2,81,4,65
-12.497,-106.91,174.29,1,1.046,114.48,1,70,3,72,0,68,2,81,4,65
-11.244,-106.95,174.29,1,1.05,115.53,1,69,3,72,0,68,2,81,4,65
-11.244,-106.91,174.29,1,1.056,116.59,1,69,3,72,0,70,2,81,4,65
-9.7865,-107.06,167.47,1,1.048,117.64,1,69,3,72,0,70,2,81,4,65
-8.8212,-107.02,168.69,1,1.041,118.68,1,69,3,72,0,72,2,81,4,66
-8.7938,-107.05,174.29,1,1.057,119.74,1,69,3,72,0,81,2,81,4,65
-7.5331,-107.09,168.69,1,1.042,120.78,1,69,3,72,0,82,2,81,4,65
-6.3611,-107.12,168.69,1,1.057,121.83,1,69,3,71,0,76,2,81,4,65
-6.341,-107.14,168.69,1,1.059,122.89,1,69,3,71,0,71,2,81,4,65
-5.2154,-107.2,167.47,1,1.038,123.93,1,69,3,71,0,71,2,81,4,65
-4.9158,-107.22,168.69,1,1.058,124.99,1,69,3,71,0,69,2,81,4,65
-3.5363,-107.34,167.47,1,1.037,126.03,1,69,3,71,0,69,2,81,4,65
-2.0595,-107.35,167.47,1,1.062,127.09,1,69,3,71,0,70,2,81,4,65
-1.1317,-107.41,168.69,1,1.043,128.13,1,69,3,71,0,73,2,81,4,65
0.14852,-107.49,168.69,1,1.045,129.18,1,69,3,71,0,74,2,81,4,66
1.4634,-107.55,167.47,1,1.058,130.23,1,69,3,73,0,74,2,81,4,66
2.7867,-107.51,167.47,1,1.059,131.29,1,69,3,73,0,72,2,81,4,65
3.5201,-107.61,167.47,1,1.038,132.33,1,69,3,73,0,72,2,81,4,65
4.7247,-107.67,167.47,1,1.059,133.39,1,69,3,73,0,72,2,81,4,65
6.0098,-107.77,167.47,1,1.046,134.44,1,69,3,73,0,74,2,81,4,65
6.8114,-107.8,167.47,1,1.046,135.48,1,69,3,73,0,77,2,81,4,65
